gene	ncbi_gene_id	ncbi_protein_id	uniprot_id	description
mtm:MYCTH_108044	ncbi-geneid:11514370	ncbi-proteinid:XP_003664427	up:G2QFF3	MFS sugar transporter-like protein
mtm:MYCTH_108061	ncbi-geneid:11514258	ncbi-proteinid:XP_003664393	up:G2QFB9	hypothetical protein
mtm:MYCTH_108098	ncbi-geneid:11514106	ncbi-proteinid:XP_003664319	up:G2QF45	hypothetical protein
mtm:MYCTH_108115	ncbi-geneid:11514067	ncbi-proteinid:XP_003664280	up:G2QF06	3-ketoacyl-CoA thiolase
mtm:MYCTH_108157	ncbi-geneid:11513921	ncbi-proteinid:XP_003664212	up:G2QET8	hypothetical protein
mtm:MYCTH_108294	ncbi-geneid:11506440	ncbi-proteinid:XP_003663986	up:G2QH81	cytochrome P450-like protein
mtm:MYCTH_108304	ncbi-geneid:11506422	ncbi-proteinid:XP_003663969	up:G2QH64	hypothetical protein
mtm:MYCTH_108314	ncbi-geneid:11513420	ncbi-proteinid:XP_003663945	up:G2QH40	hypothetical protein
mtm:MYCTH_108317	ncbi-geneid:11513417	ncbi-proteinid:XP_003663942	up:G2QH37	polyketide synthase
mtm:MYCTH_108391	ncbi-geneid:11510057	ncbi-proteinid:XP_003663767	up:G2QG57	glycoside hydrolase family 72 protein
mtm:MYCTH_108407	ncbi-geneid:11510006	ncbi-proteinid:XP_003663716	up:G2QFV3	monooxygenase
mtm:MYCTH_108416	ncbi-geneid:11506413	ncbi-proteinid:XP_003663690	up:G2QFS7	glycosyltransferase family 5 protein
mtm:MYCTH_108475	ncbi-geneid:11511335	ncbi-proteinid:XP_003665575	up:G2QIF6	hypothetical protein
mtm:MYCTH_108493	ncbi-geneid:11511279	ncbi-proteinid:XP_003665519	up:G2QI85	necrosis inducing factor
mtm:MYCTH_108501	ncbi-geneid:11511266	ncbi-proteinid:XP_003665506	up:G2QI72	hypothetical protein
mtm:MYCTH_108504	ncbi-geneid:11511261	ncbi-proteinid:XP_003665501	up:G2QI67	hypothetical protein
mtm:MYCTH_108565	ncbi-geneid:11511167	ncbi-proteinid:XP_003665407	up:G2QHX3	hypothetical protein
mtm:MYCTH_108615	ncbi-geneid:11511072	ncbi-proteinid:XP_003665312	up:G2QKG1	cytochrome P450-like protein
mtm:MYCTH_108627	ncbi-geneid:11511037	ncbi-proteinid:XP_003665277	up:G2QKC6	hypothetical protein
mtm:MYCTH_108765	ncbi-geneid:11507059	ncbi-proteinid:XP_003665031	up:G2QJM9	hypothetical protein
mtm:MYCTH_108781	ncbi-geneid:11506937	ncbi-proteinid:XP_003664987	up:G2QJI5	hypothetical protein
mtm:MYCTH_108836	ncbi-geneid:11506737	ncbi-proteinid:XP_003664865	up:G2QJ45	oxidoreductase-like protein
mtm:MYCTH_108890	ncbi-geneid:11506446	ncbi-proteinid:XP_003664748	up:G2QIH1	MFS sugar transporter-like protein
mtm:MYCTH_108924	ncbi-geneid:11509994	ncbi-proteinid:XP_003667365	up:G2QNU4	MFS sugar transporter-like protein
mtm:MYCTH_109046	ncbi-geneid:11509608	ncbi-proteinid:XP_003667135	up:G2QN17	hypothetical protein
mtm:MYCTH_109078	ncbi-geneid:11509486	ncbi-proteinid:XP_003667091	up:G2QMX3	hypothetical protein
mtm:MYCTH_109194	ncbi-geneid:11507179	ncbi-proteinid:XP_003666894	up:G2QPY6	hypothetical protein
mtm:MYCTH_109232	ncbi-geneid:11507028	ncbi-proteinid:XP_003666821	up:G2QPR3	hypothetical protein
