PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"7705619","Spontaneous mutation during the sexual cycle of Neurospora crassa","Watters MK, Stadler DR.","Genetics. 1995 Jan;139(1):137-45. doi: 10.1093/genetics/139.1.137.","Watters MK","Genetics","1995","1995/01/01","PMC1206313","","10.1093/genetics/139.1.137"
"156584","Split gene for mitochondrial 24S ribosomal RNA of Neurospora crassa","Hahn U, Lazarus CM, Lünsdorf H, Küntzel H.","Cell. 1979 May;17(1):191-200. doi: 10.1016/0092-8674(79)90307-6.","Hahn U","Cell","1979","1979/05/01","","","10.1016/0092-8674(79)90307-6"
"14291582","INCREASED ACTIVITY OF TRYPTOPHAN BIOSYNTHETIC ENZYMES IN HISTIDINE MUTANTS OF NEUROSPORA CRASSA","CARSIOTIS M, LACY AM.","J Bacteriol. 1965 Jun;89(6):1472-7. doi: 10.1128/jb.89.6.1472-1477.1965.","CARSIOTIS M","J Bacteriol","1965","1965/06/01","PMC277678","","10.1128/jb.89.6.1472-1477.1965"
"33051373","Nonoptimal Codon Usage Is Critical for Protein Structure and Function of the Master General Amino Acid Control Regulator CPC-1","Lyu X, Liu Y.","mBio. 2020 Oct 13;11(5):e02605-20. doi: 10.1128/mBio.02605-20.","Lyu X","mBio","2020","2020/10/14","PMC7554675","","10.1128/mBio.02605-20"
"26578794","Genome-wide redistribution of H3K27me3 is linked to genotoxic stress and defective growth","Basenko EY, Sasaki T, Ji L, Prybol CJ, Burckhardt RM, Schmitz RJ, Lewis ZA.","Proc Natl Acad Sci U S A. 2015 Nov 17;112(46):E6339-48. doi: 10.1073/pnas.1511377112. Epub 2015 Nov 2.","Basenko EY","Proc Natl Acad Sci U S A","2015","2015/11/19","PMC4655558","","10.1073/pnas.1511377112"
"2522104","Molybdenum cofactor biosynthesis in humans. Identification of two complementation groups of cofactor-deficient patients and preliminary characterization of a diffusible molybdopterin precursor","Johnson JL, Wuebbens MM, Mandell R, Shih VE.","J Clin Invest. 1989 Mar;83(3):897-903. doi: 10.1172/JCI113974.","Johnson JL","J Clin Invest","1989","1989/03/01","PMC303764","","10.1172/JCI113974"
"8304206","Evidence that 5-formyltetrahydropteroylglutamate has a metabolic role in one-carbon metabolism","Stover P, Kruschwitz H, Schirch V.","Adv Exp Med Biol. 1993;338:679-85. doi: 10.1007/978-1-4615-2960-6_141.","Stover P","Adv Exp Med Biol","1993","1993/01/01","","","10.1007/978-1-4615-2960-6_141"
"6267415","Immunological techniques for studies on the biogenesis of mitochondrial membrane proteins","Werner S, Sebald W.","Methods Biochem Anal. 1981;27:109-170. doi: 10.1002/9780470110478.ch3.","Werner S","Methods Biochem Anal","1981","1981/01/01","","","10.1002/9780470110478.ch3"
"4405494","Formation and reduction of intermediate acyladenylate by aryl-aldehyde. NADP oxidoreductase from Neurospora crassa","Gross GG.","Eur J Biochem. 1972 Dec 18;31(3):585-92. doi: 10.1111/j.1432-1033.1972.tb02569.x.","Gross GG","Eur J Biochem","1972","1972/12/18","","","10.1111/j.1432-1033.1972.tb02569.x"
"7969122","Analysis of the DNA-binding and dimerization activities of Neurospora crassa transcription factor NUC-1","Peleg Y, Metzenberg RL.","Mol Cell Biol. 1994 Dec;14(12):7816-26. doi: 10.1128/mcb.14.12.7816-7826.1994.","Peleg Y","Mol Cell Biol","1994","1994/12/01","PMC359321","","10.1128/mcb.14.12.7816-7826.1994"
"8662193","The regulatory protein NIT4 that mediates nitrate induction in Neurospora crassa contains a complex tripartite activation domain with a novel leucine-rich, acidic motif","Feng B, Marzluf GA.","Curr Genet. 1996 May;29(6):537-48. doi: 10.1007/BF02426958.","Feng B","Curr Genet","1996","1996/05/01","","","10.1007/BF02426958"
"6327266","Subunit 1 of cytochrome oxidase from Neurospora crassa: nucleotide sequence of the coding gene and partial amino acid sequence of the protein","Burger G, Scriven C, Machleidt W, Werner S.","EMBO J. 1982;1(11):1385-91. doi: 10.1002/j.1460-2075.1982.tb01327.x.","Burger G","EMBO J","1982","1982/01/01","PMC553221","","10.1002/j.1460-2075.1982.tb01327.x"
"8399284","The outer mitochondrial membrane channel, VDAC, is modulated by a protein localized in the intermembrane space","Holden MJ, Colombini M.","Biochim Biophys Acta. 1993 Oct 4;1144(3):396-402. doi: 10.1016/0005-2728(93)90126-z.","Holden MJ","Biochim Biophys Acta","1993","1993/10/04","","","10.1016/0005-2728(93)90126-z"
"17913625","The use of fungal in vitro systems for studying translational regulation","Wu C, Amrani N, Jacobson A, Sachs MS.","Methods Enzymol. 2007;429:203-25. doi: 10.1016/S0076-6879(07)29010-X.","Wu C","Methods Enzymol","2007","2007/10/05","","","10.1016/S0076-6879(07)29010-X"
"3004404","Characterization of Neurospora crassa cyclic AMP phosphodiesterase activated by calmodulin","Téllez-Iñón MT, Ulloa RM, Glikin GC, Torres HN.","Biochem J. 1985 Dec 1;232(2):425-30. doi: 10.1042/bj2320425.","Téllez-Iñón MT","Biochem J","1985","1985/12/01","PMC1152896","","10.1042/bj2320425"
"8602159","Gel mobility shift scanning of the acetate-inducible promoters from Neurospora crassa reveals a common co-inducible DNA-binding protein","Mizote T, Bibbins M, Sheffield PJ, Connerton IF.","Mol Gen Genet. 1996 Mar 7;250(4):421-7. doi: 10.1007/BF02174030.","Mizote T","Mol Gen Genet","1996","1996/03/07","","","10.1007/BF02174030"
"1400281","The vacuolar ATPase of Neurospora crassa","Bowman BJ, Vázquez-Laslop N, Bowman EJ.","J Bioenerg Biomembr. 1992 Aug;24(4):361-70. doi: 10.1007/BF00762529.","Bowman BJ","J Bioenerg Biomembr","1992","1992/08/01","","","10.1007/BF00762529"
"13385228","The biosynthesis of monomethylethanolamine by Neurospora crassa","NYC JF.","J Biol Chem. 1956 Dec;223(2):811-5.","NYC JF","J Biol Chem","1956","1956/12/01","","",""
"23349642","Transcription of the major neurospora crassa microRNA-like small RNAs relies on RNA polymerase III","Yang Q, Li L, Xue Z, Ye Q, Zhang L, Li S, Liu Y.","PLoS Genet. 2013;9(1):e1003227. doi: 10.1371/journal.pgen.1003227. Epub 2013 Jan 17.","Yang Q","PLoS Genet","2013","2013/01/26","PMC3547838","","10.1371/journal.pgen.1003227"
"4270447","In vitro formation of nitrate reductase using extracts of the nitrate reductase mutant of Neurospora crassa, nit-1, and Rhodospirillum rubrum","Ketchum PA, Sevilla CL.","J Bacteriol. 1973 Nov;116(2):600-9. doi: 10.1128/jb.116.2.600-609.1973.","Ketchum PA","J Bacteriol","1973","1973/11/01","PMC285424","","10.1128/jb.116.2.600-609.1973"
"6169550","Mature 23 SrRNA of prokaryotes appears homologous with the precursor of 25--28 rRNA of eukaryotes: comments on the evolution of 23--28 rRNA","Cox RA, Kelly JM.","FEBS Lett. 1981 Jul 20;130(1):1-6. doi: 10.1016/0014-5793(81)80652-7.","Cox RA","FEBS Lett","1981","1981/07/20","","","10.1016/0014-5793(81)80652-7"
"10838206","The origins of the back-mutation assay method: a personal recollection","Grigg GW.","Mutat Res. 2000 Jul;463(1):1-12. doi: 10.1016/s1383-5742(99)00088-5.","Grigg GW","Mutat Res","2000","2000/06/06","","","10.1016/s1383-5742(99)00088-5"
