Gene,KEGG_definition,KEGG
MYCTH_2060757,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2061764,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2061829,DNA replication,mtm03030
MYCTH_2062719,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2062826,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2062887,Ribosome,mtm03010
MYCTH_2063277,Endocytosis,mtm04144
MYCTH_2063591,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_2063758,Endocytosis,mtm04144
MYCTH_2064349,Ribosome,mtm03010
MYCTH_2064932,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_2066239,Peroxisome,mtm04146
MYCTH_2066622,Phagosome,mtm04145
MYCTH_2066697,Glycolysis / Gluconeogenesis;Purine metabolism;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors,mtm00010;mtm00230;mtm00620;mtm01100;mtm01110;mtm01200;mtm01230;mtm01240
MYCTH_2066939,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_2067166,Cell cycle - yeast;Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04111;mtm04120;mtm04141
MYCTH_2067418,Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm01110;mtm04070
MYCTH_2067613,"Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors",mtm00260;mtm00460;mtm00630;mtm00670;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230;mtm01240
MYCTH_2067725,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2067869,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2068493,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2069347,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2069574,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
MYCTH_2069839,Atrazine degradation,mtm00791
MYCTH_2071028,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
