Gene,KEGG_definition,KEGG
MYCTH_2118284,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_2119125,Ribosome,mtm03010
MYCTH_2119272,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2119294,DNA replication,mtm03030
MYCTH_2119403,Biotin metabolism;Metabolic pathways,mtm00780;mtm01100
MYCTH_2119446,Galactose metabolism;Glycerolipid metabolism;Sphingolipid metabolism;Glycosphingolipid biosynthesis - globo and isoglobo series;Metabolic pathways,mtm00052;mtm00561;mtm00600;mtm00603;mtm01100
MYCTH_2119593,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2119714,Spliceosome,mtm03040
MYCTH_2119779,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00780;mtm01100;mtm01240
MYCTH_2120482,Glyoxylate and dicarboxylate metabolism;Metabolic pathways,mtm00630;mtm01100
MYCTH_2120498,Tyrosine metabolism;Metabolic pathways,mtm00350;mtm01100
MYCTH_2120854,Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00052;mtm00520;mtm01100
MYCTH_2121095,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2121306,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03410;mtm03420;mtm03430;mtm03440
MYCTH_2121561,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2122073,Ribosome,mtm03010
MYCTH_2122496,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2122605,"Cysteine and methionine metabolism;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors",mtm00270;mtm00280;mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230;mtm01240
MYCTH_2123079,Purine metabolism;Monobactam biosynthesis;Selenocompound metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm00261;mtm00450;mtm00920;mtm01100;mtm01110
MYCTH_2123230,RNA polymerase,mtm03020
MYCTH_2124177,DNA replication;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03420;mtm03430;mtm03440
MYCTH_2124399,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_2124996,Cysteine and methionine metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00270;mtm00480;mtm01100;mtm01240
MYCTH_2125469,Nicotinate and nicotinamide metabolism;Metabolic pathways,mtm00760;mtm01100
MYCTH_2126152,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2126562,Ribosome,mtm03010
MYCTH_2126754,Spliceosome,mtm03040
MYCTH_2127482,Autophagy - yeast;Endocytosis,mtm04138;mtm04144
MYCTH_2129465,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2132441,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2132560,Basal transcription factors,mtm03022
MYCTH_2132657,Citrate cycle (TCA cycle);Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00020;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230
MYCTH_2132689,RNA degradation,mtm03018
MYCTH_2132763,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2132970,Base excision repair,mtm03410
MYCTH_2133010,MAPK signaling pathway - yeast,mtm04011
MYCTH_2133056,"Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2133483,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2133586,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2133968,Proteasome,mtm03050
MYCTH_2134022,MAPK signaling pathway - yeast,mtm04011
MYCTH_2134157,Aminoacyl-tRNA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00970;mtm01100;mtm01110;mtm01240
MYCTH_2134429,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Phosphatidylinositol signaling system,mtm00564;mtm01100;mtm01110;mtm04070
MYCTH_2135256,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2135843,Metabolic pathways,mtm01100
MYCTH_2136659,Proteasome,mtm03050
MYCTH_2136940,Amino sugar and nucleotide sugar metabolism,mtm00520
MYCTH_2137000,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2137175,RNA degradation;Spliceosome,mtm03018;mtm03040
MYCTH_2137468,Purine metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways,mtm00230;mtm00760;mtm01100
MYCTH_2137812,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2138498,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2138853,Methane metabolism;Metabolic pathways;Carbon metabolism,mtm00680;mtm01100;mtm01200
MYCTH_2138861,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2138933,RNA polymerase,mtm03020
MYCTH_2139555,Base excision repair,mtm03410
MYCTH_2139585,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2139989,DNA replication;Base excision repair;Nucleotide excision repair,mtm03030;mtm03410;mtm03420
MYCTH_2140529,Peroxisome,mtm04146
MYCTH_2140530,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2140820,"Glycolysis / Gluconeogenesis;Ascorbate and aldarate metabolism;Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Arginine and proline metabolism;Histidine metabolism;Tryptophan metabolism;beta-Alanine metabolism;Glycerolipid metabolism;Pyruvate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",mtm00010;mtm00053;mtm00071;mtm00280;mtm00310;mtm00330;mtm00340;mtm00380;mtm00410;mtm00561;mtm00620;mtm00770;mtm01100;mtm01110;mtm01240
MYCTH_2140896,Endocytosis,mtm04144
MYCTH_2141082,Fatty acid biosynthesis;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism;Peroxisome,mtm00061;mtm00071;mtm01100;mtm01212;mtm04146
MYCTH_2141262,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2141429,Purine metabolism;One carbon pool by folate;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm00670;mtm01100;mtm01110
MYCTH_2141486,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2141524,Endocytosis,mtm04144
MYCTH_2141686,Cysteine and methionine metabolism;Selenocompound metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00270;mtm00450;mtm00920;mtm01100;mtm01110;mtm01230
MYCTH_2142074,Spliceosome,mtm03040
MYCTH_2142160,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors;Sulfur relay system,mtm00790;mtm01100;mtm01240;mtm04122
MYCTH_2142209,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2142826,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2142867,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2143314,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2143695,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2144606,MAPK signaling pathway - yeast,mtm04011
MYCTH_2144800,Proteasome,mtm03050
MYCTH_2145046,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_2145069,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2145409,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2145474,Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,mtm00062;mtm01040;mtm01100;mtm01110;mtm01212
MYCTH_2145592,Ribosome,mtm03010
MYCTH_2293953,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_2293954,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2293959,Endocytosis;Phagosome,mtm04144;mtm04145
MYCTH_2293961,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2293970,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2293982,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2293999,Endocytosis,mtm04144
MYCTH_2294001,Mitophagy - yeast,mtm04139
MYCTH_2294003,Purine metabolism;Thiamine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00230;mtm00730;mtm01100;mtm01110;mtm01240
MYCTH_2294008,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2294037,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2294054,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2294077,"Alanine, aspartate and glutamate metabolism;Lysine degradation;Tyrosine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways",mtm00250;mtm00310;mtm00350;mtm00650;mtm00760;mtm01100
MYCTH_2294089,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2294099,"Glycine, serine and threonine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm01100;mtm01110;mtm01230
MYCTH_2294104,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2294110,Phosphonate and phosphinate metabolism;Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00440;mtm00564;mtm00565;mtm01100;mtm01110
MYCTH_2294138,RNA degradation,mtm03018
MYCTH_2294143,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00760;mtm01100;mtm01240
MYCTH_2294189,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2294193,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2294200,Cell cycle - yeast,mtm04111
MYCTH_2294215,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2294216,mRNA surveillance pathway,mtm03015
MYCTH_2294218,Ribosome,mtm03010
MYCTH_2294231,Peroxisome,mtm04146
MYCTH_2294240,Tryptophan metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00380;mtm01100;mtm01240
MYCTH_2294243,Tyrosine metabolism;Metabolic pathways,mtm00350;mtm01100
MYCTH_2294247,mRNA surveillance pathway,mtm03015
MYCTH_2294252,Cell cycle - yeast,mtm04111
MYCTH_2294261,Sulfur relay system,mtm04122
MYCTH_2294267,Purine metabolism;Metabolic pathways;Meiosis - yeast,mtm00230;mtm01100;mtm04113
MYCTH_2294268,ABC transporters;Peroxisome,mtm02010;mtm04146
MYCTH_2294314,Inositol phosphate metabolism;Metabolic pathways,mtm00562;mtm01100
MYCTH_2294321,Phagosome,mtm04145
MYCTH_2294333,mRNA surveillance pathway,mtm03015
MYCTH_2294372,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2294375,Citrate cycle (TCA cycle);Oxidative phosphorylation;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00190;mtm01100;mtm01110;mtm01200
MYCTH_2294384,Glycerophospholipid metabolism,mtm00564
MYCTH_2294394,Endocytosis,mtm04144
MYCTH_2294398,Mitophagy - yeast,mtm04139
MYCTH_2294405,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2294427,Glycolysis / Gluconeogenesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm01100;mtm01110
MYCTH_2294429,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2294445,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2294472,Peroxisome,mtm04146
MYCTH_2294490,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2294493,Peroxisome,mtm04146
MYCTH_2294496,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2294503,mRNA surveillance pathway,mtm03015
MYCTH_2294525,RNA polymerase,mtm03020
MYCTH_2294540,"Fatty acid biosynthesis;Valine, leucine and isoleucine degradation;Metabolic pathways;Fatty acid metabolism",mtm00061;mtm00280;mtm01100;mtm01212
MYCTH_2294543,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system;Phagosome,mtm00562;mtm01100;mtm04070;mtm04145
MYCTH_2294554,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2294555,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2294558,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00760;mtm01100;mtm01240
MYCTH_2294574,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2294587,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2294589,RNA polymerase,mtm03020
MYCTH_2294621,Spliceosome,mtm03040
MYCTH_2294640,Basal transcription factors,mtm03022
MYCTH_2294643,Peroxisome,mtm04146
MYCTH_2294679,Citrate cycle (TCA cycle);Oxidative phosphorylation;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00190;mtm01100;mtm01110;mtm01200
MYCTH_2294698,Proteasome,mtm03050
MYCTH_2294706,Peroxisome,mtm04146
MYCTH_2294730,Autophagy - yeast,mtm04138
MYCTH_2294734,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2294749,"Ubiquinone and other terpenoid-quinone biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Tyrosine metabolism;Phenylalanine metabolism;Tryptophan metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00130;mtm00270;mtm00300;mtm00350;mtm00360;mtm00380;mtm00400;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2294755,Other glycan degradation;Various types of N-glycan biosynthesis;Amino sugar and nucleotide sugar metabolism;Glycosaminoglycan degradation;Glycosphingolipid biosynthesis - globo and isoglobo series;Glycosphingolipid biosynthesis - ganglio series;Metabolic pathways,mtm00511;mtm00513;mtm00520;mtm00531;mtm00603;mtm00604;mtm01100
MYCTH_2294760,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2294774,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_2294795,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2294810,mRNA surveillance pathway,mtm03015
MYCTH_2294821,Ribosome,mtm03010
MYCTH_2294830,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2294863,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2294864,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2294867,Spliceosome,mtm03040
MYCTH_2294886,Proteasome,mtm03050
MYCTH_2294943,Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00051;mtm00520;mtm01100;mtm01110;mtm01240
MYCTH_2294959,Pentose and glucuronate interconversions;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00040;mtm00052;mtm00500;mtm00520;mtm01100;mtm01110;mtm01240
MYCTH_2294991,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2294998,Folate biosynthesis,mtm00790
MYCTH_2294999,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2295005,Protein processing in endoplasmic reticulum;Phagosome,mtm04141;mtm04145
MYCTH_2295009,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2295034,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2295038,SNARE interactions in vesicular transport,mtm04130
MYCTH_2295040,Oxidative phosphorylation,mtm00190
MYCTH_2295050,Cell cycle - yeast,mtm04111
MYCTH_2295056,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2295083,MAPK signaling pathway - yeast,mtm04011
MYCTH_2295090,Spliceosome,mtm03040
MYCTH_2295098,Proteasome,mtm03050
MYCTH_2295109,RNA polymerase,mtm03020
MYCTH_2295112,Ribosome,mtm03010
MYCTH_2295173,Autophagy - yeast,mtm04138
MYCTH_2295174,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2295178,Spliceosome,mtm03040
MYCTH_2295190,Citrate cycle (TCA cycle);Oxidative phosphorylation;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00190;mtm01100;mtm01110;mtm01200
MYCTH_2295196,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2295204,Spliceosome,mtm03040
MYCTH_2295245,MAPK signaling pathway - yeast,mtm04011
MYCTH_2295248,Basal transcription factors,mtm03022
MYCTH_2295250,"Glycine, serine and threonine metabolism;Metabolic pathways",mtm00260;mtm01100
MYCTH_2295254,Autophagy - yeast,mtm04138
MYCTH_2295275,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2295283,ABC transporters,mtm02010
MYCTH_2295290,Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00300;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2295307,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2295366,RNA polymerase,mtm03020
MYCTH_2295392,Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00300;mtm01100;mtm01110;mtm01230
MYCTH_2295409,Tryptophan metabolism;Metabolic pathways,mtm00380;mtm01100
MYCTH_2295414,Tryptophan metabolism;Metabolic pathways,mtm00380;mtm01100
MYCTH_2295432,Endocytosis,mtm04144
MYCTH_2295433,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2295436,RNA degradation,mtm03018
MYCTH_2295445,Galactose metabolism;Other glycan degradation;Sphingolipid metabolism;Metabolic pathways,mtm00052;mtm00511;mtm00600;mtm01100
MYCTH_2295490,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2295514,Citrate cycle (TCA cycle);Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00020;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230
MYCTH_2295591,DNA replication,mtm03030
MYCTH_2295601,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2295614,Sulfur relay system,mtm04122
MYCTH_2295629,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2295637,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2295647,Endocytosis,mtm04144
MYCTH_2295675,Spliceosome,mtm03040
MYCTH_2295692,Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Carbon metabolism;Biosynthesis of amino acids,mtm00020;mtm00620;mtm01100;mtm01200;mtm01230
MYCTH_2295729,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2295737,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2295747,DNA replication;Cell cycle - yeast;Meiosis - yeast,mtm03030;mtm04111;mtm04113
MYCTH_2295750,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2295756,Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00051;mtm00052;mtm00500;mtm00520;mtm01100;mtm01110;mtm01200
