ncbi-proteinid:XP_003660745,mtm:MYCTH_112916
ncbi-proteinid:XP_003660732,mtm:MYCTH_112924
ncbi-proteinid:XP_003660604,mtm:MYCTH_112996
ncbi-proteinid:XP_003660473,mtm:MYCTH_113066
ncbi-proteinid:XP_003660362,mtm:MYCTH_113138
ncbi-proteinid:XP_003666199,mtm:MYCTH_113236
ncbi-proteinid:XP_003666197,mtm:MYCTH_113239
ncbi-proteinid:XP_003665931,mtm:MYCTH_113387
ncbi-proteinid:XP_003660096,mtm:MYCTH_113450
ncbi-proteinid:XP_003660109,mtm:MYCTH_113457
ncbi-proteinid:XP_003666387,mtm:MYCTH_113577
ncbi-proteinid:XP_003666431,mtm:MYCTH_113600
ncbi-proteinid:XP_003658463,mtm:MYCTH_113715
ncbi-proteinid:XP_003658735,mtm:MYCTH_113886
ncbi-proteinid:XP_003658771,mtm:MYCTH_113912
ncbi-proteinid:XP_003658892,mtm:MYCTH_113985
ncbi-proteinid:XP_003658928,mtm:MYCTH_114008
ncbi-proteinid:XP_003659071,mtm:MYCTH_114083
ncbi-proteinid:XP_003659126,mtm:MYCTH_114107
ncbi-proteinid:XP_003659231,mtm:MYCTH_114166
ncbi-proteinid:XP_003659349,mtm:MYCTH_114237
ncbi-proteinid:XP_003659553,mtm:MYCTH_114376
ncbi-proteinid:XP_003659720,mtm:MYCTH_114482
ncbi-proteinid:XP_003659753,mtm:MYCTH_114497
ncbi-proteinid:XP_003662444,mtm:MYCTH_114666
ncbi-proteinid:XP_003662443,mtm:MYCTH_114667
ncbi-proteinid:XP_003662425,mtm:MYCTH_114678
ncbi-proteinid:XP_003662401,mtm:MYCTH_114691
ncbi-proteinid:XP_003662348,mtm:MYCTH_114710
ncbi-proteinid:XP_003662314,mtm:MYCTH_114734
ncbi-proteinid:XP_003662308,mtm:MYCTH_114738
ncbi-proteinid:XP_003662214,mtm:MYCTH_114796
ncbi-proteinid:XP_003661971,mtm:MYCTH_114955
ncbi-proteinid:XP_003661829,mtm:MYCTH_115028
ncbi-proteinid:XP_003661765,mtm:MYCTH_115052
ncbi-proteinid:XP_003661689,mtm:MYCTH_115096
ncbi-proteinid:XP_003661651,mtm:MYCTH_115110
ncbi-proteinid:XP_003661504,mtm:MYCTH_115198
ncbi-proteinid:XP_003663538,mtm:MYCTH_115501
ncbi-proteinid:XP_003663278,mtm:MYCTH_115624
ncbi-proteinid:XP_003663073,mtm:MYCTH_115754
ncbi-proteinid:XP_003662981,mtm:MYCTH_115802
ncbi-proteinid:XP_003662899,mtm:MYCTH_115858
ncbi-proteinid:XP_003662854,mtm:MYCTH_115886
ncbi-proteinid:XP_003662815,mtm:MYCTH_115909
ncbi-proteinid:XP_003662767,mtm:MYCTH_115935
ncbi-proteinid:XP_003662757,mtm:MYCTH_115944
ncbi-proteinid:XP_003662728,mtm:MYCTH_115957
ncbi-proteinid:XP_003662704,mtm:MYCTH_115968
ncbi-proteinid:XP_003662683,mtm:MYCTH_115983
ncbi-proteinid:XP_003662652,mtm:MYCTH_116006
ncbi-proteinid:XP_003662627,mtm:MYCTH_116020
ncbi-proteinid:XP_003664606,mtm:MYCTH_116157
ncbi-proteinid:XP_003664727,mtm:MYCTH_116175
ncbi-proteinid:XP_003664431,mtm:MYCTH_116237
ncbi-proteinid:XP_003664383,mtm:MYCTH_116261
ncbi-proteinid:XP_003664265,mtm:MYCTH_116322
ncbi-proteinid:XP_003664227,mtm:MYCTH_116348
ncbi-proteinid:XP_003664206,mtm:MYCTH_116363
ncbi-proteinid:XP_003664172,mtm:MYCTH_116384
ncbi-proteinid:XP_003663967,mtm:MYCTH_116510
ncbi-proteinid:XP_003663843,mtm:MYCTH_116553
ncbi-proteinid:XP_003663941,mtm:MYCTH_11658
ncbi-proteinid:XP_003663718,mtm:MYCTH_116603
ncbi-proteinid:XP_003665708,mtm:MYCTH_116629
ncbi-proteinid:XP_003665552,mtm:MYCTH_116679
ncbi-proteinid:XP_003665198,mtm:MYCTH_116881
ncbi-proteinid:XP_003665188,mtm:MYCTH_116885
ncbi-proteinid:XP_003665064,mtm:MYCTH_116956
ncbi-proteinid:XP_003664813,mtm:MYCTH_117063
ncbi-proteinid:XP_003664798,mtm:MYCTH_117073
ncbi-proteinid:XP_003667339,mtm:MYCTH_117145
ncbi-proteinid:XP_003667335,mtm:MYCTH_117146
ncbi-proteinid:XP_003667326,mtm:MYCTH_117150
ncbi-proteinid:XP_003667214,mtm:MYCTH_117206
ncbi-proteinid:XP_003667209,mtm:MYCTH_117209
ncbi-proteinid:XP_003667159,mtm:MYCTH_117245
ncbi-proteinid:XP_003666904,mtm:MYCTH_117406
ncbi-proteinid:XP_003666867,mtm:MYCTH_117428
ncbi-proteinid:XP_003666856,mtm:MYCTH_117436
ncbi-proteinid:XP_003666773,mtm:MYCTH_117478
ncbi-proteinid:XP_003666738,mtm:MYCTH_117495
ncbi-proteinid:XP_003665866,mtm:MYCTH_117620
ncbi-proteinid:XP_003665847,mtm:MYCTH_117625
ncbi-proteinid:XP_003665768,mtm:MYCTH_117681
ncbi-proteinid:XP_003665521,mtm:MYCTH_11798
ncbi-proteinid:XP_003660152,mtm:MYCTH_12171
ncbi-proteinid:XP_003660612,mtm:MYCTH_122893
ncbi-proteinid:XP_003659560,mtm:MYCTH_122939
ncbi-proteinid:XP_003662347,mtm:MYCTH_12812
ncbi-proteinid:XP_003664687,mtm:MYCTH_13170
ncbi-proteinid:XP_003665138,mtm:MYCTH_140260
ncbi-proteinid:XP_003666470,mtm:MYCTH_140261
ncbi-proteinid:XP_003658583,mtm:MYCTH_14609
ncbi-proteinid:XP_003666521,mtm:MYCTH_15682
ncbi-proteinid:XP_003663929,mtm:MYCTH_15789
ncbi-proteinid:XP_003664768,mtm:MYCTH_16152
ncbi-proteinid:XP_003658559,mtm:MYCTH_16224
ncbi-proteinid:XP_003663827,mtm:MYCTH_16301
ncbi-proteinid:XP_003663138,mtm:MYCTH_16353
ncbi-proteinid:XP_003667026,mtm:MYCTH_17263
ncbi-proteinid:XP_003666840,mtm:MYCTH_17562
ncbi-proteinid:XP_003664101,mtm:MYCTH_17585
ncbi-proteinid:XP_003664675,mtm:MYCTH_17759
ncbi-proteinid:XP_003666752,mtm:MYCTH_18938
ncbi-proteinid:XP_003667302,mtm:MYCTH_19035
ncbi-proteinid:XP_003663009,mtm:MYCTH_2018629
ncbi-proteinid:XP_003664879,mtm:MYCTH_2018746
ncbi-proteinid:XP_003658577,mtm:MYCTH_2019108
ncbi-proteinid:XP_003662853,mtm:MYCTH_2019141
ncbi-proteinid:XP_003664395,mtm:MYCTH_2019371
ncbi-proteinid:XP_003662486,mtm:MYCTH_2019378
ncbi-proteinid:XP_003666412,mtm:MYCTH_2019397
ncbi-proteinid:XP_003662378,mtm:MYCTH_2019739
ncbi-proteinid:XP_003661589,mtm:MYCTH_2019888
ncbi-proteinid:XP_003664545,mtm:MYCTH_2020046
ncbi-proteinid:XP_003659509,mtm:MYCTH_2020422
ncbi-proteinid:XP_003659060,mtm:MYCTH_2020707
ncbi-proteinid:XP_003665109,mtm:MYCTH_2020741
ncbi-proteinid:XP_003663320,mtm:MYCTH_2022110
ncbi-proteinid:XP_003661165,mtm:MYCTH_2022424
ncbi-proteinid:XP_003665563,mtm:MYCTH_2022670
ncbi-proteinid:XP_003661233,mtm:MYCTH_2023079
ncbi-proteinid:XP_003663888,mtm:MYCTH_2023245
ncbi-proteinid:XP_003665574,mtm:MYCTH_2023927
ncbi-proteinid:XP_003664913,mtm:MYCTH_2023929
ncbi-proteinid:XP_003661442,mtm:MYCTH_2024024
ncbi-proteinid:XP_003661884,mtm:MYCTH_2024695
ncbi-proteinid:XP_003665070,mtm:MYCTH_2025277
ncbi-proteinid:XP_003662380,mtm:MYCTH_2025626
ncbi-proteinid:XP_003664810,mtm:MYCTH_2025813
ncbi-proteinid:XP_003664299,mtm:MYCTH_2025957
ncbi-proteinid:XP_003664845,mtm:MYCTH_2026083
ncbi-proteinid:XP_003661224,mtm:MYCTH_2026137
ncbi-proteinid:XP_003665323,mtm:MYCTH_2026172
ncbi-proteinid:XP_003665676,mtm:MYCTH_2027194
ncbi-proteinid:XP_003659415,mtm:MYCTH_2028011
ncbi-proteinid:XP_003659628,mtm:MYCTH_2028710
ncbi-proteinid:XP_003663998,mtm:MYCTH_2028839
ncbi-proteinid:XP_003660978,mtm:MYCTH_2029285
ncbi-proteinid:XP_003667256,mtm:MYCTH_2029356
ncbi-proteinid:XP_003660356,mtm:MYCTH_2029593
ncbi-proteinid:XP_003662437,mtm:MYCTH_2029812
ncbi-proteinid:XP_003659164,mtm:MYCTH_2029952
