Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2312918,GO:0003796,Catalysis of the hydrolysis of the beta-(1->4) linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan.,MF,lysozyme activity
MYCTH_2293999,GO:0035091,"Interacting selectively and non-covalently with any inositol-containing glycerophospholipid, i.e. phosphatidylinositol (PtdIns) and its phosphorylated derivatives.",MF,phosphatidylinositol binding
MYCTH_2306632,GO:0016575,The modification of histones by removal of acetyl groups.,BP,histone deacetylation
MYCTH_2071905,GO:0006397,Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.,BP,mRNA processing
MYCTH_2071905,GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",MF,hydrolase activity
MYCTH_90985,GO:0015095,Enables the transfer of magnesium (Mg) ions from one side of a membrane to the other.,MF,magnesium ion transmembrane transporter activity
MYCTH_90985,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2295346,GO:0003700,"Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",MF,DNA-binding transcription factor activity
MYCTH_48379,GO:0030600,Catalysis of the reaction: feruloyl-polysaccharide + H2O = ferulate + polysaccharide.,MF,feruloyl esterase activity
MYCTH_2139768,GO:1902979,,BP,mitotic DNA replication termination
MYCTH_2298256,GO:0008289,Interacting selectively and non-covalently with a lipid.,MF,lipid binding
MYCTH_2297073,GO:0004521,Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.,MF,endoribonuclease activity
MYCTH_2297073,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2061857,GO:0006812,"The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,cation transport
MYCTH_2061857,GO:0046872,Interacting selectively and non-covalently with any metal ion.,MF,metal ion binding
MYCTH_2061857,GO:0005215,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.",MF,transporter activity
MYCTH_2061857,GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding
MYCTH_2300549,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2309533,GO:0005739,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",CC,mitochondrion
MYCTH_60632,GO:0003884,Catalysis of the reaction: a D-amino acid + H2O + O2 = a 2-oxo acid + NH3 + hydrogen peroxide.,MF,D-amino-acid oxidase activity
MYCTH_60632,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_2311850,GO:0031011,A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity and 3' to 5' DNA helicase activity.,CC,Ino80 complex
MYCTH_2311850,GO:0006338,Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation.,BP,chromatin remodeling
MYCTH_2298656,GO:0016788,Catalysis of the hydrolysis of any ester bond.,MF,"hydrolase activity, acting on ester bonds"
MYCTH_2314933,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2293959,GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity
MYCTH_2293959,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2302186,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2311299,GO:0005680,"A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B.",CC,anaphase-promoting complex
