Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2313192,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2313192,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2306033,GO:0015140,"Enables the transfer of malate from one side of a membrane to the other. Malate is a chiral hydroxydicarboxylic acid, hydroxybutanedioic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle.",MF,malate transmembrane transporter activity
MYCTH_2306033,GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane
MYCTH_2306719,GO:0005096,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF,GTPase activator activity
MYCTH_2294980,GO:0005085,"Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase.",MF,guanyl-nucleotide exchange factor activity
MYCTH_2307970,GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus
MYCTH_108924,GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane
MYCTH_108924,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_108924,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2313004,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2311445,GO:0007059,"The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles.",BP,chromosome segregation
MYCTH_2314839,GO:0006144,"The chemical reactions and pathways involving purine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, which include adenine and guanine.",BP,purine nucleobase metabolic process
MYCTH_2115336,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_50021,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2142599,GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",CC,cytoplasm
MYCTH_2296139,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2296139,GO:0019005,"A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).",CC,SCF ubiquitin ligase complex
MYCTH_78540,GO:0008496,Catalysis of the random hydrolysis of (1->6)-alpha-D-mannosidic linkages in unbranched (1->6)-mannans.,MF,"mannan endo-1,6-alpha-mannosidase activity"
MYCTH_78540,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2302223,GO:0008496,Catalysis of the random hydrolysis of (1->6)-alpha-D-mannosidic linkages in unbranched (1->6)-mannans.,MF,"mannan endo-1,6-alpha-mannosidase activity"
MYCTH_2302223,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2305515,GO:0005085,"Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase.",MF,guanyl-nucleotide exchange factor activity
MYCTH_2107102,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2107102,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2302206,GO:0000159,"A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit.",CC,protein phosphatase type 2A complex
MYCTH_2092577,GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity
MYCTH_2092577,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2310676,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2299922,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2301834,GO:0005811,An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins.,CC,lipid droplet
MYCTH_2309422,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2309422,GO:0008483,"Catalysis of the transfer of an amino group to an acceptor, usually a 2-oxo acid.",MF,transaminase activity
MYCTH_2310471,GO:0016192,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",BP,vesicle-mediated transport
MYCTH_2310471,GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport
MYCTH_2301210,GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding
MYCTH_2299772,GO:0071949,"Interacting selectively and non-covalently with the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes.",MF,FAD binding
MYCTH_2300056,GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus
MYCTH_2300056,GO:0004402,Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.,MF,histone acetyltransferase activity
MYCTH_83980,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2309017,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2300600,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2314770,GO:0000398,"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",BP,"mRNA splicing, via spliceosome"
MYCTH_2298918,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2298918,GO:0005227,Enables the calcium concentration-regulatable energy-independent passage of cations across a lipid bilayer down a concentration gradient.,MF,calcium activated cation channel activity
MYCTH_2119593,GO:0019239,"Catalysis of the removal of an amino group from a substrate, producing ammonia (NH3).",MF,deaminase activity
MYCTH_2296450,GO:0009055,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,MF,electron transfer activity
MYCTH_80081,GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport
MYCTH_2309310,GO:0017056,"The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules.",MF,structural constituent of nuclear pore
MYCTH_42071,GO:0046373,"The chemical reactions and pathways involving L-arabinose, the D-enantiomer of arabino-pentose. L-arabinose occurs free, e.g. in the heartwood of many conifers, and in the combined state, in both furanose and pyranose forms, as a constituent of various plant hemicelluloses, bacterial polysaccharides etc.",BP,L-arabinose metabolic process
MYCTH_2031554,GO:0007062,The cell cycle process in which the sister chromatids of a replicated chromosome become tethered to each other.,BP,sister chromatid cohesion
MYCTH_2306100,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2296918,GO:0006457,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.,BP,protein folding
MYCTH_2311481,GO:0016791,"Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate.",MF,phosphatase activity
MYCTH_2311481,GO:0043169,"Interacting selectively and non-covalently with cations, charged atoms or groups of atoms with a net positive charge.",MF,cation binding
MYCTH_2311481,GO:0004722,"Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.",MF,protein serine/threonine phosphatase activity
MYCTH_2308758,GO:0006032,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues.",BP,chitin catabolic process
MYCTH_2294490,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2300931,GO:0004601,Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O.,MF,peroxidase activity
MYCTH_85367,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_85367,GO:0005886,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,CC,plasma membrane
MYCTH_2301308,GO:0016757,Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).,MF,"transferase activity, transferring glycosyl groups"
MYCTH_2311921,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_68164,GO:0004315,Catalysis of the reaction: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO2 + [acyl-carrier protein].,MF,3-oxoacyl-[acyl-carrier-protein] synthase activity
MYCTH_68164,GO:0016740,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",MF,transferase activity
MYCTH_68164,GO:0016746,Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).,MF,"transferase activity, transferring acyl groups"
MYCTH_68164,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_68164,GO:0031177,"Interacting selectively and non-covalently with phosphopantetheine, the vitamin pantetheine 4'-(dihydrogen phosphate).",MF,phosphopantetheine binding
MYCTH_2307037,GO:0035091,"Interacting selectively and non-covalently with any inositol-containing glycerophospholipid, i.e. phosphatidylinositol (PtdIns) and its phosphorylated derivatives.",MF,phosphatidylinositol binding
MYCTH_2307037,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2299092,GO:0004252,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).",MF,serine-type endopeptidase activity
MYCTH_2299092,GO:0006508,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,BP,proteolysis
MYCTH_2299092,GO:0006465,The proteolytic removal of a signal peptide from a protein during or after transport to a specific location in the cell.,BP,signal peptide processing
MYCTH_2295737,GO:0016651,Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.,MF,"oxidoreductase activity, acting on NAD(P)H"
MYCTH_57908,GO:0000956,The chemical reactions and pathways resulting in the breakdown of nuclear-transcribed mRNAs in eukaryotic cells.,BP,nuclear-transcribed mRNA catabolic process
MYCTH_2297811,GO:0006506,"The chemical reactions and pathways resulting in the formation of a glycosylphosphatidylinositol (GPI) anchor that attaches some membrane proteins to the lipid bilayer of the cell membrane. The phosphatidylinositol group is linked via the C-6 hydroxyl residue of inositol to a carbohydrate chain which is itself linked to the protein via an ethanolamine phosphate group, its amino group forming an amide linkage with the C-terminal carboxyl of the protein. Some GPI anchors have variants on this canonical linkage.",BP,GPI anchor biosynthetic process
MYCTH_2308103,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2301406,GO:0000938,A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles.,CC,GARP complex
MYCTH_2301406,GO:0042147,The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport.,BP,"retrograde transport, endosome to Golgi"
MYCTH_53945,GO:0016838,Catalysis of the cleavage of a carbon-oxygen bond by elimination of a phosphate.,MF,"carbon-oxygen lyase activity, acting on phosphates"
MYCTH_2115531,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2115531,GO:0000178,"A ribonuclease complex that has 3-prime to 5-prime exoribonuclease activity and possibly endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured.",CC,exosome (RNase complex)
MYCTH_2298240,GO:0003779,"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments.",MF,actin binding
MYCTH_2298240,GO:0005543,"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester.",MF,phospholipid binding
MYCTH_2298240,GO:0006897,A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle.,BP,endocytosis
MYCTH_2313641,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2307966,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2299856,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2299645,GO:0016301,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.",MF,kinase activity
MYCTH_2299645,GO:0003951,Catalysis of the reaction: ATP + NAD(+) = ADP + 2 H(+) + NADP(+).,MF,NAD+ kinase activity
MYCTH_2311537,GO:0005669,"A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters.",CC,transcription factor TFIID complex
MYCTH_109373,GO:0003684,Interacting selectively and non-covalently with damaged DNA.,MF,damaged DNA binding
MYCTH_2091473,GO:0005750,"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains about 10 polypeptide subunits including four redox centers: cytochrome b/b6, cytochrome c1 and an 2Fe-2S cluster. Catalyzes the oxidation of ubiquinol by oxidized cytochrome c1.",CC,mitochondrial respiratory chain complex III
MYCTH_2073132,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_80274,GO:0006508,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,BP,proteolysis
MYCTH_2306768,GO:0046983,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",MF,protein dimerization activity
MYCTH_2306768,GO:0032933,"A series of molecular signals from the endoplasmic reticulum to the nucleus generated as a consequence of decreased levels of one or more sterols (and in some yeast, changes in oxygen levels) and which proceeds through activation of a sterol response element binding transcription factor (SREBP) to result in up-regulation of target gene transcription.",BP,SREBP signaling pathway
MYCTH_2316301,GO:0000009,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage.",MF,"alpha-1,6-mannosyltransferase activity"
MYCTH_107255,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_107255,GO:0006283,"The nucleotide-excision repair process that carries out preferential repair of DNA lesions on the actively transcribed strand of the DNA duplex. In addition, the transcription-coupled nucleotide-excision repair pathway is required for the recognition and repair of a small subset of lesions that are not recognized by the global genome nucleotide excision repair pathway.",BP,transcription-coupled nucleotide-excision repair
MYCTH_2314258,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2313181,GO:0008080,Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.,MF,N-acetyltransferase activity
MYCTH_2316753,GO:0005471,Catalysis of the reaction: ATP(out) + ADP(in) = ATP(in) + ADP(out).,MF,ATP:ADP antiporter activity
MYCTH_2316753,GO:0055085,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.",BP,transmembrane transport
MYCTH_73867,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_73867,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2302789,GO:0006281,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.",BP,DNA repair
MYCTH_62332,GO:0004407,"Catalysis of the reaction: histone N6-acetyl-L-lysine + H2O = histone L-lysine + acetate. This reaction represents the removal of an acetyl group from a histone, a class of proteins complexed to DNA in chromatin and chromosomes.",MF,histone deacetylase activity
MYCTH_2315227,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2127963,GO:0030145,Interacting selectively and non-covalently with manganese (Mn) ions.,MF,manganese ion binding
MYCTH_2136940,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_2309770,GO:0006673,"The chemical reactions and pathways involving inositol phosphoceramides, any lipid with a phosphodiester bridge between an inositol residue and the ceramide group.",BP,inositol phosphoceramide metabolic process
MYCTH_2302247,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2297855,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2306260,GO:0001671,Binds to and increases the ATP hydrolysis activity of an ATPase.,MF,ATPase activator activity
MYCTH_2316003,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2067839,GO:0008237,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",MF,metallopeptidase activity
MYCTH_114796,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2144606,GO:0005085,"Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase.",MF,guanyl-nucleotide exchange factor activity
MYCTH_2144606,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2305032,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2296643,GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane
MYCTH_2082262,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2082262,GO:0003825,"Catalysis of the reaction: UDP-glucose + D-glucose-6-phosphate = UDP + alpha,alpha-trehalose-6-phosphate.",MF,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
MYCTH_2298552,GO:0005742,A large complex of the mitochondrial outer membrane that mediates transport of proteins into all mitochondrial compartments.,CC,mitochondrial outer membrane translocase complex
MYCTH_2297338,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2304257,GO:0031932,"A protein complex that contains at least TOR (target of rapamycin) and Rictor (rapamycin-insensitive companion of TOR), or orthologs of, in complex with other signaling components. Mediates the phosphorylation and activation of PKB (also called AKT). In Saccharomyces, the complex contains Avo1p, Avo2p, Tsc11p, Lst8p, Bit61p, Slm1p, Slm2p, and Tor2p.",CC,TORC2 complex
MYCTH_102871,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_102871,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2300902,GO:0008270,Interacting selectively and non-covalently with zinc (Zn) ions.,MF,zinc ion binding
MYCTH_2308790,GO:0004518,Catalysis of the hydrolysis of ester linkages within nucleic acids.,MF,nuclease activity
MYCTH_2308790,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2308790,GO:0016788,Catalysis of the hydrolysis of any ester bond.,MF,"hydrolase activity, acting on ester bonds"
MYCTH_2300922,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2300922,GO:0004842,"Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages.",MF,ubiquitin-protein transferase activity
MYCTH_2295177,GO:0004674,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.",MF,protein serine/threonine kinase activity
MYCTH_2295177,GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",MF,protein kinase activity
MYCTH_101354,GO:0005576,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.,CC,extracellular region
MYCTH_2302217,GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus
MYCTH_2297831,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2294433,GO:0046872,Interacting selectively and non-covalently with any metal ion.,MF,metal ion binding
MYCTH_2294433,GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding
MYCTH_2294433,GO:0005215,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.",MF,transporter activity
MYCTH_2294433,GO:0005507,Interacting selectively and non-covalently with copper (Cu) ions.,MF,copper ion binding
MYCTH_2294433,GO:0006812,"The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,cation transport
MYCTH_2087807,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2087807,GO:0004553,Catalysis of the hydrolysis of any O-glycosyl bond.,MF,"hydrolase activity, hydrolyzing O-glycosyl compounds"
MYCTH_2304452,GO:0008270,Interacting selectively and non-covalently with zinc (Zn) ions.,MF,zinc ion binding
MYCTH_78093,GO:0008237,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",MF,metallopeptidase activity
MYCTH_2314728,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
