Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt007002	GSM5035230,GSM5035231	 SRX9938241, SRX9938242	SRR13529927,SRR13529928	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	WT-Glu-1,WT-Glu-2	wt	Glucose	45°		2021
mt007003	GSM5035232,GSM5035233	 SRX9938243, SRX9938244	SRR13529929,SRR13529930	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	WT-Gal-1,WT-Gal-2	wt	Gal	45°		2021
mt007004	GSM5035234,GSM5035235	 SRX9938245, SRX9938246	SRR13529931,SRR13529932	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	WTdeltagalK-Gal-1,WTdeltagalK-Gal-2	wt	Gal	45°		2021
mt007005	GSM5035236,GSM5035237	 SRX9938247, SRX9938248	SRR13529933,SRR13529934	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	OEgal2-Gal-1,OEgal2-Gal-2	OEgal2	Gal	45°		2021
mt007006	GSM5035238,GSM5035239	 SRX9938249, SRX9938250	SRR13529935,SRR13529936	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	OEgal2deltagalK-Gal-1,OEgal2detalgalK-Gal-2	OEgal2	Gal	45°		2021
mt008001	GSM5556624,GSM5556625	 SRX12008440, SRX12008441	SRR15712859,SRR15712860	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_ex_R1,MJK20.3_Parental_ex_R2	MJK20.3	Glucose	45°	exponential_state	2021 Sep
mt008002	GSM5556626,GSM5556627	 SRX12008442, SRX12008443	SRR15712861,SRR15712862	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_SS_R1,MJK20.3_Parental_SS_R2	MJK20.3	Glucose	45°	steady_state	2021 Sep
mt008003	GSM5556628,GSM5556629	 SRX12008444, SRX12008445	SRR15712863,SRR15712864	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_t1_R1,MJK20.3_Parental_t1_R2	MJK20.3	Cellulose 	45°	0.5h	2021 Sep
mt008004	GSM5556630,GSM5556631	 SRX12008446, SRX12008447	SRR15712865,SRR15712866	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_t2_R1,MJK20.3_Parental_t2_R2	MJK20.3	Cellulose 	45°	1h	2021 Sep
mt008005	GSM5556632,GSM5556633	 SRX12008448, SRX12008449	SRR15712867,SRR15712868	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_t3_R1,MJK20.3_Parental_t3_R2	MJK20.3	Cellulose 	45°	2h	2021 Sep
mt008006	GSM5556634,GSM5556635	 SRX12008450, SRX12008451	SRR15712820,SRR15712821	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	MJK20.3_Parental_t4_R1,MJK20.3_Parental_t4_R2	MJK20.3	Cellulose 	45°	4h	2021 Sep
mt008007	GSM5556636,GSM5556637	 SRX12008452, SRX12008453	SRR15712822,SRR15712823	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_ex_R1,BS6.4_Clr2_ex_R2	BS6.4	Glucose	45°	exponential_state	2021 Sep
mt008008	GSM5556638,GSM5556639	 SRX12008454, SRX12008455	SRR15712824,SRR15712825	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_SS_R1,BS6.4_Clr2_SS_R2	BS6.4	Glucose	45°	steady_state	2021 Sep
mt008009	GSM5556640,GSM5556641	 SRX12008456, SRX12008457	SRR15712826,SRR15712827	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_t1_R1,BS6.4_Clr2_t1_R2	BS6.4	Cellulose 	45°	0.5h	2021 Sep
mt008010	GSM5556642,GSM5556643	 SRX12008458, SRX12008459	SRR15712828,SRR15712829	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_t2_R1,BS6.4_Clr2_t2_R2	BS6.4	Cellulose 	45°	1h	2021 Sep
mt008011	GSM5556644,GSM5556645	 SRX12008460, SRX12008461	SRR15712830,SRR15712831	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_t3_R1,BS6.4_Clr2_t3_R2	BS6.4	Cellulose 	45°	2h	2021 Sep
mt008012	GSM5556646,GSM5556647	 SRX12008462, SRX12008463	SRR15712832,SRR15712833	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BS6.4_Clr2_t4_R1,BS6.4_Clr2_t4_R2	BS6.4	Cellulose 	45°	4h	2021 Sep
